LoincNumber,LongCommonName,PartNumber,PartTypeName,PartName,PartSequenceOrder,RID,PreferredName,RPID,LongName
26138-8,XR Acromioclavicular joint - right,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26138-8,XR Acromioclavicular joint - right,LP207519-2,Rad.Anatomic Location.Imaging Focus,Acromioclavicular joint,A,RID1895,acromioclavicular joint,,
26138-8,XR Acromioclavicular joint - right,LP199953-3,Rad.Anatomic Location.Laterality,Right,A,RID5825,RIGHT,,
26138-8,XR Acromioclavicular joint - right,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26139-6,XR Mastoid - bilateral,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26139-6,XR Mastoid - bilateral,LP199951-7,Rad.Anatomic Location.Laterality,Bilateral,A,RID5771,Bilateral,,
26139-6,XR Mastoid - bilateral,LP199989-7,Rad.Anatomic Location.Imaging Focus,Mastoid,A,RID35754,Mastoid region,,
26139-6,XR Mastoid - bilateral,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26139-6,XR Mastoid - bilateral,LP199977-2,Rad.Anatomic Location.Region Imaged,Head,A,RID9080,head,,
26139-6,XR Mastoid - bilateral,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26140-4,XR Mastoid - left,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26140-4,XR Mastoid - left,LP199977-2,Rad.Anatomic Location.Region Imaged,Head,A,RID9080,head,,
26140-4,XR Mastoid - left,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26140-4,XR Mastoid - left,LP199989-7,Rad.Anatomic Location.Imaging Focus,Mastoid,A,RID35754,Mastoid region,,
26140-4,XR Mastoid - left,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26140-4,XR Mastoid - left,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
26141-2,XR Mastoid - right,LP199953-3,Rad.Anatomic Location.Laterality,Right,A,RID5825,RIGHT,,
26141-2,XR Mastoid - right,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26141-2,XR Mastoid - right,LP199989-7,Rad.Anatomic Location.Imaging Focus,Mastoid,A,RID35754,Mastoid region,,
26141-2,XR Mastoid - right,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26141-2,XR Mastoid - right,LP199977-2,Rad.Anatomic Location.Region Imaged,Head,A,RID9080,head,,
26141-2,XR Mastoid - right,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26142-0,XR Optic foramen - bilateral,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26142-0,XR Optic foramen - bilateral,LP199977-2,Rad.Anatomic Location.Region Imaged,Head,A,RID9080,head,,
26142-0,XR Optic foramen - bilateral,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26142-0,XR Optic foramen - bilateral,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26142-0,XR Optic foramen - bilateral,LP199951-7,Rad.Anatomic Location.Laterality,Bilateral,A,RID5771,Bilateral,,
26142-0,XR Optic foramen - bilateral,LP230199-4,Rad.Anatomic Location.Imaging Focus,Optic foramen,A,RID43693,Optic foramen,,
26143-8,XR Optic foramen - left,LP230199-4,Rad.Anatomic Location.Imaging Focus,Optic foramen,A,RID43693,Optic foramen,,
26143-8,XR Optic foramen - left,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26143-8,XR Optic foramen - left,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
26143-8,XR Optic foramen - left,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26143-8,XR Optic foramen - left,LP199977-2,Rad.Anatomic Location.Region Imaged,Head,A,RID9080,head,,
26143-8,XR Optic foramen - left,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26144-6,XR Optic foramen - right,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26144-6,XR Optic foramen - right,LP199977-2,Rad.Anatomic Location.Region Imaged,Head,A,RID9080,head,,
26144-6,XR Optic foramen - right,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26144-6,XR Optic foramen - right,LP199953-3,Rad.Anatomic Location.Laterality,Right,A,RID5825,RIGHT,,
26144-6,XR Optic foramen - right,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26144-6,XR Optic foramen - right,LP230199-4,Rad.Anatomic Location.Imaging Focus,Optic foramen,A,RID43693,Optic foramen,,
26146-1,XR Radius and Ulna - bilateral,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26146-1,XR Radius and Ulna - bilateral,LP199951-7,Rad.Anatomic Location.Laterality,Bilateral,A,RID5771,Bilateral,,
26146-1,XR Radius and Ulna - bilateral,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26146-1,XR Radius and Ulna - bilateral,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
26146-1,XR Radius and Ulna - bilateral,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26146-1,XR Radius and Ulna - bilateral,LP221452-8,Rad.Anatomic Location.Imaging Focus,Radius,A.A,RID2109,Radius,,
26146-1,XR Radius and Ulna - bilateral,LP221453-6,Rad.Anatomic Location.Imaging Focus,Ulna,A.B,RID2119,Ulna,,
26148-7,XR Radius and Ulna - left,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26148-7,XR Radius and Ulna - left,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
26148-7,XR Radius and Ulna - left,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26148-7,XR Radius and Ulna - left,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26148-7,XR Radius and Ulna - left,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
26148-7,XR Radius and Ulna - left,LP221452-8,Rad.Anatomic Location.Imaging Focus,Radius,A.A,RID2109,Radius,,
26148-7,XR Radius and Ulna - left,LP221453-6,Rad.Anatomic Location.Imaging Focus,Ulna,A.B,RID2119,Ulna,,
26150-3,XR Radius and Ulna - right,LP199953-3,Rad.Anatomic Location.Laterality,Right,A,RID5825,RIGHT,,
26150-3,XR Radius and Ulna - right,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26150-3,XR Radius and Ulna - right,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26150-3,XR Radius and Ulna - right,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
26150-3,XR Radius and Ulna - right,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26150-3,XR Radius and Ulna - right,LP221452-8,Rad.Anatomic Location.Imaging Focus,Radius,A.A,RID2109,Radius,,
26150-3,XR Radius and Ulna - right,LP221453-6,Rad.Anatomic Location.Imaging Focus,Ulna,A.B,RID2119,Ulna,,
26151-1,XR Ribs - bilateral,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26151-1,XR Ribs - bilateral,LP199962-4,Rad.Anatomic Location.Region Imaged,Chest,A,RID1243,Thorax,,
26151-1,XR Ribs - bilateral,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26151-1,XR Ribs - bilateral,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26151-1,XR Ribs - bilateral,LP199951-7,Rad.Anatomic Location.Laterality,Bilateral,A,RID5771,Bilateral,,
26151-1,XR Ribs - bilateral,LP221278-7,Rad.Anatomic Location.Imaging Focus,Ribs,A,RID28591,set of ribs,,
26152-9,XR Ribs - left,LP221278-7,Rad.Anatomic Location.Imaging Focus,Ribs,A,RID28591,set of ribs,,
26152-9,XR Ribs - left,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26152-9,XR Ribs - left,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
26152-9,XR Ribs - left,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26152-9,XR Ribs - left,LP199962-4,Rad.Anatomic Location.Region Imaged,Chest,A,RID1243,Thorax,,
26152-9,XR Ribs - left,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26153-7,XR Ribs - right,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26153-7,XR Ribs - right,LP199962-4,Rad.Anatomic Location.Region Imaged,Chest,A,RID1243,Thorax,,
26153-7,XR Ribs - right,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26153-7,XR Ribs - right,LP199953-3,Rad.Anatomic Location.Laterality,Right,A,RID5825,RIGHT,,
26153-7,XR Ribs - right,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26153-7,XR Ribs - right,LP221278-7,Rad.Anatomic Location.Imaging Focus,Ribs,A,RID28591,set of ribs,,
26154-5,XR Scapula - bilateral,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26154-5,XR Scapula - bilateral,LP199951-7,Rad.Anatomic Location.Laterality,Bilateral,A,RID5771,Bilateral,,
26154-5,XR Scapula - bilateral,LP200009-1,Rad.Anatomic Location.Imaging Focus,Scapula,A,RID1860,Scapula,,
26154-5,XR Scapula - bilateral,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26154-5,XR Scapula - bilateral,LP199962-4,Rad.Anatomic Location.Region Imaged,Chest,A,RID1243,Thorax,,
26154-5,XR Scapula - bilateral,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26155-2,XR Scapula - left,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26155-2,XR Scapula - left,LP199962-4,Rad.Anatomic Location.Region Imaged,Chest,A,RID1243,Thorax,,
26155-2,XR Scapula - left,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26155-2,XR Scapula - left,LP200009-1,Rad.Anatomic Location.Imaging Focus,Scapula,A,RID1860,Scapula,,
26155-2,XR Scapula - left,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26155-2,XR Scapula - left,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
26156-0,XR Scapula - right,LP199953-3,Rad.Anatomic Location.Laterality,Right,A,RID5825,RIGHT,,
26156-0,XR Scapula - right,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26156-0,XR Scapula - right,LP200009-1,Rad.Anatomic Location.Imaging Focus,Scapula,A,RID1860,Scapula,,
26156-0,XR Scapula - right,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26156-0,XR Scapula - right,LP199962-4,Rad.Anatomic Location.Region Imaged,Chest,A,RID1243,Thorax,,
26156-0,XR Scapula - right,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26157-8,XR Shoulder - bilateral,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26157-8,XR Shoulder - bilateral,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
26157-8,XR Shoulder - bilateral,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26157-8,XR Shoulder - bilateral,LP200011-7,Rad.Anatomic Location.Imaging Focus,Shoulder,A,RID1852,Shoulder girdle,,
26157-8,XR Shoulder - bilateral,LP200011-7,Rad.Anatomic Location.Imaging Focus,Shoulder,A,RID39518,Shoulder,,
26157-8,XR Shoulder - bilateral,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26157-8,XR Shoulder - bilateral,LP199951-7,Rad.Anatomic Location.Laterality,Bilateral,A,RID5771,Bilateral,,
26158-6,XR Shoulder - left,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26158-6,XR Shoulder - left,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
26158-6,XR Shoulder - left,LP200011-7,Rad.Anatomic Location.Imaging Focus,Shoulder,A,RID1852,Shoulder girdle,,
26158-6,XR Shoulder - left,LP200011-7,Rad.Anatomic Location.Imaging Focus,Shoulder,A,RID39518,Shoulder,,
26158-6,XR Shoulder - left,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26158-6,XR Shoulder - left,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
26158-6,XR Shoulder - left,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26159-4,XR Shoulder - right,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26159-4,XR Shoulder - right,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
26159-4,XR Shoulder - right,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26159-4,XR Shoulder - right,LP200011-7,Rad.Anatomic Location.Imaging Focus,Shoulder,A,RID1852,Shoulder girdle,,
26159-4,XR Shoulder - right,LP200011-7,Rad.Anatomic Location.Imaging Focus,Shoulder,A,RID39518,Shoulder,,
26159-4,XR Shoulder - right,LP199953-3,Rad.Anatomic Location.Laterality,Right,A,RID5825,RIGHT,,
26159-4,XR Shoulder - right,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26160-2,XR Thumb - bilateral,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26160-2,XR Thumb - bilateral,LP199951-7,Rad.Anatomic Location.Laterality,Bilateral,A,RID5771,Bilateral,,
26160-2,XR Thumb - bilateral,LP207280-1,Rad.Anatomic Location.Imaging Focus,Thumb,A,RID2392,Thumb,,
26160-2,XR Thumb - bilateral,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26160-2,XR Thumb - bilateral,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
26160-2,XR Thumb - bilateral,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26161-0,XR Thumb - left,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26161-0,XR Thumb - left,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
26161-0,XR Thumb - left,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26161-0,XR Thumb - left,LP207280-1,Rad.Anatomic Location.Imaging Focus,Thumb,A,RID2392,Thumb,,
26161-0,XR Thumb - left,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26161-0,XR Thumb - left,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
26162-8,XR Thumb - right,LP199953-3,Rad.Anatomic Location.Laterality,Right,A,RID5825,RIGHT,,
26162-8,XR Thumb - right,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26162-8,XR Thumb - right,LP207280-1,Rad.Anatomic Location.Imaging Focus,Thumb,A,RID2392,Thumb,,
26162-8,XR Thumb - right,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26162-8,XR Thumb - right,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
26162-8,XR Thumb - right,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26163-6,XR Tibia - bilateral and Fibula - bilateral,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26163-6,XR Tibia - bilateral and Fibula - bilateral,LP199985-5,Rad.Anatomic Location.Region Imaged,Lower extremity,A,RID2638,Lower extremity,,
26163-6,XR Tibia - bilateral and Fibula - bilateral,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26163-6,XR Tibia - bilateral and Fibula - bilateral,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26163-6,XR Tibia - bilateral and Fibula - bilateral,LP199951-7,Rad.Anatomic Location.Laterality,Bilateral,A,RID5771,Bilateral,,
26163-6,XR Tibia - bilateral and Fibula - bilateral,LP207281-9,Rad.Anatomic Location.Imaging Focus,Tibia,A.A,RID2885,Tibia,,
26163-6,XR Tibia - bilateral and Fibula - bilateral,LP207282-7,Rad.Anatomic Location.Imaging Focus,Fibula,A.B,RID2871,Fibula,,
26164-4,XR Tibia - left and Fibula - left,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26164-4,XR Tibia - left and Fibula - left,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
26164-4,XR Tibia - left and Fibula - left,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26164-4,XR Tibia - left and Fibula - left,LP199985-5,Rad.Anatomic Location.Region Imaged,Lower extremity,A,RID2638,Lower extremity,,
26164-4,XR Tibia - left and Fibula - left,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26164-4,XR Tibia - left and Fibula - left,LP207281-9,Rad.Anatomic Location.Imaging Focus,Tibia,A.A,RID2885,Tibia,,
26164-4,XR Tibia - left and Fibula - left,LP207282-7,Rad.Anatomic Location.Imaging Focus,Fibula,A.B,RID2871,Fibula,,
26165-1,XR Tibia - right and Fibula - right,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26165-1,XR Tibia - right and Fibula - right,LP199985-5,Rad.Anatomic Location.Region Imaged,Lower extremity,A,RID2638,Lower extremity,,
26165-1,XR Tibia - right and Fibula - right,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26165-1,XR Tibia - right and Fibula - right,LP199953-3,Rad.Anatomic Location.Laterality,Right,A,RID5825,RIGHT,,
26165-1,XR Tibia - right and Fibula - right,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26165-1,XR Tibia - right and Fibula - right,LP207281-9,Rad.Anatomic Location.Imaging Focus,Tibia,A.A,RID2885,Tibia,,
26165-1,XR Tibia - right and Fibula - right,LP207282-7,Rad.Anatomic Location.Imaging Focus,Fibula,A.B,RID2871,Fibula,,
26166-9,XR Toes - bilateral,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26166-9,XR Toes - bilateral,LP199951-7,Rad.Anatomic Location.Laterality,Bilateral,A,RID5771,Bilateral,,
26166-9,XR Toes - bilateral,LP221477-5,Rad.Anatomic Location.Imaging Focus,Toes,A,RID28757,set of toes,,
26166-9,XR Toes - bilateral,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26166-9,XR Toes - bilateral,LP199985-5,Rad.Anatomic Location.Region Imaged,Lower extremity,A,RID2638,Lower extremity,,
26166-9,XR Toes - bilateral,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26167-7,XR Toes - left,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26167-7,XR Toes - left,LP199985-5,Rad.Anatomic Location.Region Imaged,Lower extremity,A,RID2638,Lower extremity,,
26167-7,XR Toes - left,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26167-7,XR Toes - left,LP221477-5,Rad.Anatomic Location.Imaging Focus,Toes,A,RID28757,set of toes,,
26167-7,XR Toes - left,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26167-7,XR Toes - left,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
26168-5,XR Toes - right,LP199953-3,Rad.Anatomic Location.Laterality,Right,A,RID5825,RIGHT,,
26168-5,XR Toes - right,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26168-5,XR Toes - right,LP221477-5,Rad.Anatomic Location.Imaging Focus,Toes,A,RID28757,set of toes,,
26168-5,XR Toes - right,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26168-5,XR Toes - right,LP199985-5,Rad.Anatomic Location.Region Imaged,Lower extremity,A,RID2638,Lower extremity,,
26168-5,XR Toes - right,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26169-3,XR Wrist - bilateral,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26169-3,XR Wrist - bilateral,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
26169-3,XR Wrist - bilateral,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26169-3,XR Wrist - bilateral,LP221474-2,Rad.Anatomic Location.Imaging Focus,Wrist,A,RID2177,Wrist,,
26169-3,XR Wrist - bilateral,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26169-3,XR Wrist - bilateral,LP199951-7,Rad.Anatomic Location.Laterality,Bilateral,A,RID5771,Bilateral,,
26170-1,XR Wrist - left,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26170-1,XR Wrist - left,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
26170-1,XR Wrist - left,LP221474-2,Rad.Anatomic Location.Imaging Focus,Wrist,A,RID2177,Wrist,,
26170-1,XR Wrist - left,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26170-1,XR Wrist - left,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
26170-1,XR Wrist - left,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26171-9,XR Wrist - right,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26171-9,XR Wrist - right,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
26171-9,XR Wrist - right,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26171-9,XR Wrist - right,LP221474-2,Rad.Anatomic Location.Imaging Focus,Wrist,A,RID2177,Wrist,,
26171-9,XR Wrist - right,LP199953-3,Rad.Anatomic Location.Laterality,Right,A,RID5825,RIGHT,,
26171-9,XR Wrist - right,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26172-7,XR Zygomatic arch - bilateral,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26172-7,XR Zygomatic arch - bilateral,LP199951-7,Rad.Anatomic Location.Laterality,Bilateral,A,RID5771,Bilateral,,
26172-7,XR Zygomatic arch - bilateral,LP230200-0,Rad.Anatomic Location.Imaging Focus,Zygomatic arch,A,RID28599,zygomatic arch,,
26172-7,XR Zygomatic arch - bilateral,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26172-7,XR Zygomatic arch - bilateral,LP199977-2,Rad.Anatomic Location.Region Imaged,Head,A,RID9080,head,,
26172-7,XR Zygomatic arch - bilateral,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26173-5,XR Zygomatic arch - left,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26173-5,XR Zygomatic arch - left,LP199977-2,Rad.Anatomic Location.Region Imaged,Head,A,RID9080,head,,
26173-5,XR Zygomatic arch - left,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26173-5,XR Zygomatic arch - left,LP230200-0,Rad.Anatomic Location.Imaging Focus,Zygomatic arch,A,RID28599,zygomatic arch,,
26173-5,XR Zygomatic arch - left,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26173-5,XR Zygomatic arch - left,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
26174-3,XR Zygomatic arch - right,LP199953-3,Rad.Anatomic Location.Laterality,Right,A,RID5825,RIGHT,,
26174-3,XR Zygomatic arch - right,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26174-3,XR Zygomatic arch - right,LP230200-0,Rad.Anatomic Location.Imaging Focus,Zygomatic arch,A,RID28599,zygomatic arch,,
26174-3,XR Zygomatic arch - right,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
26174-3,XR Zygomatic arch - right,LP199977-2,Rad.Anatomic Location.Region Imaged,Head,A,RID9080,head,,
26174-3,XR Zygomatic arch - right,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26175-0,MG Breast - bilateral screening,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26175-0,MG Breast - bilateral screening,LP200187-5,Rad.Reason for Exam,Screening,A,RID28817,Screening,,
26175-0,MG Breast - bilateral screening,LP199961-6,Rad.Anatomic Location.Region Imaged,Breast,A,RID28749,breast,,
26175-0,MG Breast - bilateral screening,LP208647-0,Rad.Modality.Modality type,MG,A,RID10357,mammography,,
26175-0,MG Breast - bilateral screening,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26175-0,MG Breast - bilateral screening,LP199951-7,Rad.Anatomic Location.Laterality,Bilateral,A,RID5771,Bilateral,,
26176-8,MG Breast - left screening,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26176-8,MG Breast - left screening,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
26176-8,MG Breast - left screening,LP208647-0,Rad.Modality.Modality type,MG,A,RID10357,mammography,,
26176-8,MG Breast - left screening,LP199961-6,Rad.Anatomic Location.Region Imaged,Breast,A,RID28749,breast,,
26176-8,MG Breast - left screening,LP200187-5,Rad.Reason for Exam,Screening,A,RID28817,Screening,,
26176-8,MG Breast - left screening,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26177-6,MG Breast - right screening,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
26177-6,MG Breast - right screening,LP200187-5,Rad.Reason for Exam,Screening,A,RID28817,Screening,,
26177-6,MG Breast - right screening,LP199961-6,Rad.Anatomic Location.Region Imaged,Breast,A,RID28749,breast,,
26177-6,MG Breast - right screening,LP208647-0,Rad.Modality.Modality type,MG,A,RID10357,mammography,,
26177-6,MG Breast - right screening,LP199953-3,Rad.Anatomic Location.Laterality,Right,A,RID5825,RIGHT,,
26177-6,MG Breast - right screening,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26178-4,RFA Femoral artery - bilateral runoff W contrast IA,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
26178-4,RFA Femoral artery - bilateral runoff W contrast IA,LP199951-7,Rad.Anatomic Location.Laterality,Bilateral,A,RID5771,Bilateral,,
